epoch,accuracy,loss,val_accuracy,val_loss
0,0.34844261407852173,2.5998482704162598,0.3864586353302002,2.361178398132324
1,0.40668153762817383,2.234576940536499,0.3878517746925354,2.2144086360931396
2,0.4297170042991638,2.0432705879211426,0.4042908847332001,2.0422987937927246
3,0.4488203525543213,1.914151668548584,0.4112566113471985,2.158895969390869
4,0.4731872081756592,1.8156710863113403,0.48202842473983765,1.808540940284729
5,0.49225959181785583,1.7376118898391724,0.476734459400177,1.7637957334518433
6,0.5138708353042603,1.6696717739105225,0.4435775876045227,1.9093198776245117
7,0.5270605087280273,1.6133347749710083,0.537754237651825,1.578723669052124
8,0.5355130434036255,1.5694732666015625,0.5555865168571472,1.5315515995025635
9,0.5492290258407593,1.5322537422180176,0.5394260287284851,1.5812664031982422
10,0.559167742729187,1.4977887868881226,0.5288380980491638,1.552682638168335
11,0.5659173727035522,1.4654344320297241,0.5569796562194824,1.4765740633010864
12,0.5725741386413574,1.441456913948059,0.5391473770141602,1.6022504568099976
13,0.5799120664596558,1.417218804359436,0.5636667609214783,1.4489836692810059
14,0.5824509263038635,1.3995318412780762,0.5778768658638,1.4525176286697388
15,0.5905628800392151,1.3802299499511719,0.5288380980491638,1.5402390956878662
16,0.5985509753227234,1.3591811656951904,0.5775982141494751,1.4189480543136597
17,0.6022973656654358,1.3450838327407837,0.5801059007644653,1.4117648601531982
18,0.6026688814163208,1.332678198814392,0.5594873428344727,1.4398198127746582
19,0.6043098568916321,1.3181418180465698,0.5514070987701416,1.510372519493103
20,0.6118645071983337,1.304060935974121,0.5731401443481445,1.4133254289627075
21,0.6133506894111633,1.2947229146957397,0.5310671329498291,1.5554020404815674
22,0.6176853179931641,1.282109260559082,0.6021175980567932,1.308274745941162
23,0.6191714406013489,1.2656742334365845,0.5639454126358032,1.4815558195114136
24,0.621648371219635,1.2609853744506836,0.591251015663147,1.3618569374084473
25,0.6240324378013611,1.2527506351470947,0.6085260510444641,1.3127787113189697
26,0.6318038105964661,1.2369599342346191,0.6157703995704651,1.2995930910110474
27,0.6310297846794128,1.2325100898742676,0.5667316913604736,1.390763521194458
28,0.6370673179626465,1.2238612174987793,0.5915296673774719,1.3485527038574219
29,0.6378104090690613,1.2119501829147339,0.6179994344711304,1.2684797048568726
